Erie,2,11,,,,,,,
Crawford,1,11,8,3,,,,,
Mercer,2,4,8,9,,,,,
Lawrence,3,5,9,,,,,,
Beaver,4,6,9,10,,,,,
Washington,5,7,10,15,16,,,,
Greene,6,16,,,,,,,
Venango,2,3,9,11,12,13,,,
Butler,3,4,5,8,10,13,14,,
Allegheny,5,6,9,14,15,,,,
Warren,1,2,8,12,17,,,,
Forest,8,11,13,18,19,,,,
Clarion,8,9,12,14,19,,,,
Armstrong,9,13,15,19,20,,,,
Westmoreland,6,10,14,20,21,24,,,
Fayette,6,7,15,21,,,,,
Mc Kean,11,18,22,25,,,,,
Elk,12,17,19,22,23,,,,
Jefferson,12,13,14,18,20,23,,,
Indiana,14,15,19,23,24,,,,
Somerset,15,16,24,29,,,,,
Cameron,17,18,23,25,26,,,,
Clearfield,18,19,20,24,22,26,27,,
Cambria,15,20,21,23,28,29,,,
Potter,17,22,26,32,33,,,,
Clinton,22,23,25,27,33,40,,,
Centre,23,26,28,30,34,40,,,
Blair,24,27,29,30,,,,,
Bedford,21,24,28,30,31,,,,
Huntington,27,28,29,31,34,35,37,,
Fulton,29,30,37,,,,,,
Tioga,25,33,42,,,,,,
Lycoming,25,26,32,42,43,40,44,45,48
Mifflin,27,30,35,40,41,,,,
Juniata,30,34,36,37,41,45,,,
Perry,35,37,38,46,,,,,
Franklin,30,31,35,36,38,39,,,
Cumberland,36,37,39,46,47,,,,
Adams,37,38,47,,,,,,
Union,26,27,33,34,41,45,,,
Snyder,34,35,40,45,,,,,
Bradford,32,33,43,52,53,,,,
Sullivan,33,42,48,53,54,,,,
Montour,33,45,48,,,,,,
Northumberland,33,40,41,35,44,46,49,48,
Dauphin,36,38,45,47,49,50,51,,
York,38,39,46,51,,,,,
Columbia,33,43,44,45,49,54,,,
Schuylkill,45,46,48,50,56,55,61,,
Lebanon,46,49,51,56,,,,,
Lancaster,46,47,50,56,64,,,,
Susquehanna,42,53,57,58,,,,,
Wyoming,42,43,52,54,57,,,,
Luzerne,43,48,49,53,55,57,,,
Carbon,49,54,59,60,61,,,,
Berks,49,50,51,61,63,64,,,
Lackawanna,52,53,54,58,59,,,,
Wayne,52,57,59,67,,,,,
Monroe,54,55,57,58,60,67,,,
Northampton,55,59,61,62,,,,,
Lehigh,49,55,56,60,62,63,,,
Bucks,60,61,63,66,,,,,
Montgomery,56,61,62,64,65,66,,,
Chester,51,56,63,65,,,,,
Delaware,63,64,66,,,,,,
Philadelphia,62,63,65,,,,,,
Pike,58,59,,,,,,,
